Pink_curve;;Blue_curve;;Yellow_curve;;Light_blue_curve;;Purple_curve;
X;Y;X;Y;X;Y;X;Y;X;Y
0.00915493;9.90E-05;0.00915493;0.010566755;0.00915493;0.005693925;0.00915493;0.003857212;0.00915493;0.005893925
0.052438876;9.46E-06;0.052438876;0.010430579;0.052438876;0.006119504;0.052438876;0.003897669;0.052438876;0.006319504
0.095722822;9.90E-05;0.095722822;0.010290818;0.095722822;0.00578802;0.095722822;0.00387796;0.095722822;0.00598802
0.139006768;0.000305107;0.139006768;0.010172559;0.139006768;0.006039743;0.139006768;0.003961876;0.139006768;0.006239743
0.182290714;0.000731556;0.182290714;0.010020256;0.182290714;0.006083727;0.182290714;0.004096777;0.182290714;0.006283727
0.22557466;0.001263721;0.22557466;0.009945;0.22557466;0.0058143;0.22557466;0.004199072;0.22557466;0.0060143
0.268858606;0.00195894;0.268858606;0.009952168;0.268858606;0.006119504;0.268858606;0.004230945;0.268858606;0.006319504
0.312142552;0.002761923;0.312142552;0.009939625;0.312142552;0.005789633;0.312142552;0.004213135;0.312142552;0.005989633
0.356822755;0.003734616;0.355426498;0.009950376;0.355426498;0.006113232;0.355426498;0.004292463;0.355426498;0.006313232
0.403896539;0.005009059;0.398710444;0.009941417;0.398245026;0.006001006;0.398710444;0.004420832;0.398710444;0.006201006
0.451488934;0.006289252;0.441994391;0.009945;0.441994391;0.005864688;0.441994391;0.00454022;0.441994391;0.006064688
0.492259618;0.007610283;0.485278337;0.009952168;0.485278337;0.006119504;0.485278337;0.004687854;0.485278337;0.006319504
0.535543564;0.009151232;0.528995604;0.010203082;0.528562283;0.005745819;0.528562283;0.00472374;0.528562283;0.005945819
0.578827511;0.010679639;0.573397625;0.010040629;0.571846229;0.006119504;0.571846229;0.004938706;0.571846229;0.006319504
0.622111457;0.012483983;0.615130175;0.010185102;0.615130175;0.00598691;0.615130175;0.005016539;0.615130175;0.00618691
0.665395403;0.014277577;0.658414121;0.010297985;0.658414121;0.005840153;0.658414121;0.005124252;0.658414121;0.006040153
0.708679349;0.016544206;0.701698067;0.010441329;0.701698067;0.006119504;0.701698067;0.005316776;0.701698067;0.006319504
0.751963295;0.018991807;0.744982013;0.010570339;0.744982013;0.005708643;0.744982013;0.005396815;0.744982013;0.005908643
0.795247241;0.021249477;0.788265959;0.0108194;0.788265959;0.006119504;0.788265959;0.005587339;0.788265959;0.006319504
0.838531187;0.023870883;0.831549905;0.011082794;0.831549905;0.005995323;0.831549905;0.005669326;0.831549905;0.006195323
0.881815133;0.026288024;0.874833852;0.011380233;0.874833852;0.005885887;0.874833852;0.005779061;0.874833852;0.006085887
0.925099079;0.029097569;0.918117798;0.011797723;0.918117798;0.006212677;0.918117798;0.005958241;0.918117798;0.006412677
0.968383025;0.032113171;0.961401744;0.012209838;0.962642861;0.00561339;0.961401744;0.006108294;0.961401744;0.00581339
1.011666972;0.035137732;1.00468569;0.012713334;1.00468569;0.006063958;1.00468569;0.006350646;1.00468569;0.006263958
1.054950918;0.038500944;1.047969636;0.013245499;1.047969636;0.005912423;1.043780867;0.006519434;1.043780867;0.006112423
1.094744223;0.041401802;1.091253582;0.013774081;1.091253582;0.005905358;1.109404914;0.007047657;1.109404914;0.006105358
1.134537528;0.04461278;1.134537528;0.014424505;1.134537528;0.006119504;1.15268886;0.007241393;1.15268886;0.006319504
1.172236449;0.047759573;1.173632705;0.015013506;1.174330833;0.005595277;1.185082007;0.007463713;1.185082007;0.005795277
